,player_name,position,club_name,country_name,age,market_value
0,Orkun Kökçü,Gel. Tengah,SL Benfica,Turki,23,486690000000.0
1,Angelo Stiller,Gel. Bertahan,VfB Stuttgart,Jerman,23,486690000000.0
2,Matty Cash,Bek-Kanan,Aston Villa,Polandia,27,486690000000.0
3,Nahuel Molina,Bek-Kanan,Atlético de Madrid,Argentina,26,486690000000.0
4,Vitaliy Mykolenko,Bek-Kiri,Everton FC,Ukraina,25,486690000000.0
5,Angel Gomes,Gel. Serang,LOSC Lille,Inggris,24,486690000000.0
6,Emile Smith Rowe,Gel. Serang,Fulham FC,Inggris,24,486690000000.0
7,Yoane Wissa,Depan-Tengah,Brentford FC,Republik Demokratik Kongo,28,486690000000.0
8,Deniz Undav,Depan-Tengah,VfB Stuttgart,Jerman,28,486690000000.0
9,Ermedin Demirovic,Depan-Tengah,VfB Stuttgart,Bosnia-Herzegovina,26,486690000000.0
10,Denis Zakaria,Gel. Bertahan,AS Monaco,Swiss,27,486690000000.0
11,Malcom,Sayap Kanan,Al-Hilal SFC,Brasil,27,486690000000.0
12,Mathias Jensen,Gel. Tengah,Brentford FC,Denmark,28,486690000000.0
13,Taiwo Awoniyi,Depan-Tengah,Nottingham Forest,Nigeria,27,486690000000.0
14,Manuel Locatelli,Gel. Bertahan,Juventus FC,Italia,26,486690000000.0
15,Joe Gomez,Bek-Tengah,Liverpool FC,Inggris,27,486690000000.0
16,Xaver Schlager,Gel. Tengah,RB Leipzig,Austria,27,486690000000.0
17,Stanislav Lobotka,Gel. Bertahan,SSC Napoli,Slovakia,29,486690000000.0
18,Luke Shaw,Bek-Kiri,Manchester United,Inggris,29,486690000000.0
19,Jan Oblak,Kiper,Atlético de Madrid,Slovenia,31,486690000000.0
20,Emiliano Martínez,Kiper,Aston Villa,Argentina,32,486690000000.0
21,Alisson,Kiper,Liverpool FC,Brasil,32,486690000000.0
22,Aleksandar Mitrović,Depan-Tengah,Al-Hilal SFC,Serbia,30,486690000000.0
23,Thiago Almada,Gel. Serang,Botafogo de Futebol e Regatas,Argentina,23,469300000000.0
24,Galeno,Sayap Kiri,FC Porto,Brasil,27,469300000000.0
0,Orkun Kökçü,Gel. Tengah,SL Benfica,Turki,23,486690000000.0
1,Olivier Boscagli,Bek-Tengah,PSV Eindhoven,Prancis,26,469300000000.0
2,Oscar Gloukh,Gel. Serang,Red Bull Salzburg,Israel,20,434540000000.0
3,Arthur Vermeeren,Gel. Bertahan,RB Leipzig,Belgia,19,434540000000.0
4,Archie Gray,Bek-Kanan,Tottenham Hotspur,Inggris,18,434540000000.0
5,Karim Konaté,Depan-Tengah,Red Bull Salzburg,Pantai Gading,20,434540000000.0
6,André,Gel. Bertahan,Wolverhampton Wanderers,Brasil,23,434540000000.0
7,Igor Thiago,Depan-Tengah,Brentford FC,Brasil,23,434540000000.0
8,Tyrick Mitchell,Bek-Kiri,Crystal Palace,Inggris,25,434540000000.0
9,Lesley Ugochukwu,Gel. Bertahan,Southampton FC,Prancis,20,434540000000.0
10,Brajan Gruda,Sayap Kanan,Brighton & Hove Albion,Jerman,20,434540000000.0
11,Gabri Veiga,Gel. Tengah,Al-Ahli SFC,Spanyol,22,434540000000.0
12,Matías Soulé,Sayap Kanan,AS Roma,Argentina,21,434540000000.0
13,Marcos Leonardo,Depan-Tengah,Al-Hilal SFC,Brasil,21,434540000000.0
14,Oscar Bobb,Sayap Kanan,Manchester City,Norwegia,21,434540000000.0
15,Wilfried Singo,Bek-Tengah,AS Monaco,Pantai Gading,23,434540000000.0
16,Yan Couto,Bek-Kanan,Borussia Dortmund,Brasil,22,434540000000.0
17,Aaron Hickey,Bek-Kanan,Brentford FC,Skotlandia,22,434540000000.0
18,Anthony Elanga,Sayap Kanan,Nottingham Forest,Swedia,22,434540000000.0
19,Radu Drăgușin,Bek-Tengah,Tottenham Hotspur,Rumania,22,434540000000.0
20,Kang-in Lee,Gel. Serang,Paris Saint-Germain,Korea Selatan,23,434540000000.0
21,Anatoliy Trubin,Kiper,SL Benfica,Ukraina,23,434540000000.0
22,Miguel Gutiérrez,Bek-Kiri,Girona FC,Spanyol,23,434540000000.0
23,Federico Gatti,Bek-Tengah,Juventus FC,Italia,26,434540000000.0
24,Folarin Balogun,Depan-Tengah,AS Monaco,Amerika Serikat,23,434540000000.0
0,Edon Zhegrova,Sayap Kanan,LOSC Lille,Kosovo,25,434540000000.0
1,Wesley Fofana,Bek-Tengah,Chelsea FC,Prancis,23,434540000000.0
2,Facundo Medina,Bek-Tengah,RC Lens,Argentina,25,434540000000.0
3,Nathan Collins,Bek-Tengah,Brentford FC,Irlandia,23,434540000000.0
4,Malik Tillman,Gel. Serang,PSV Eindhoven,Amerika Serikat,22,434540000000.0
5,Mattéo Guendouzi,Gel. Tengah,SS Lazio,Prancis,25,434540000000.0
6,Lucas Chevalier,Kiper,LOSC Lille,Prancis,23,434540000000.0
7,Rodrigo Riquelme,Sayap Kiri,Atlético de Madrid,Spanyol,24,434540000000.0
8,Yann Bisseck,Bek-Tengah,Inter Milan,Jerman,23,434540000000.0
9,Jørgen Strand Larsen,Depan-Tengah,Wolverhampton Wanderers,Norwegia,24,434540000000.0
10,Amine Gouiri,Depan-Tengah,Stade Rennais FC,Aljazair,24,434540000000.0
11,Andriy Lunin,Kiper,Real Madrid,Ukraina,25,434540000000.0
12,Yangel Herrera,Gel. Tengah,Girona FC,Venezuela,26,434540000000.0
13,Evan Ndicka,Bek-Tengah,AS Roma,Pantai Gading,25,434540000000.0
14,Antonee Robinson,Bek-Kiri,Fulham FC,Amerika Serikat,27,434540000000.0
15,Sean Longstaff,Gel. Tengah,Newcastle United,Inggris,27,434540000000.0
16,Tammy Abraham,Depan-Tengah,AC Milan,Inggris,27,434540000000.0
17,Vangelis Pavlidis,Depan-Tengah,SL Benfica,Yunani,25,434540000000.0
18,David Raum,Bek-Kiri,RB Leipzig,Jerman,26,434540000000.0
19,Hee-chan Hwang,Depan-Tengah,Wolverhampton Wanderers,Korea Selatan,28,434540000000.0
20,Kevin Danso,Bek-Tengah,RC Lens,Austria,26,434540000000.0
21,Gianluca Mancini,Bek-Tengah,AS Roma,Italia,28,434540000000.0
22,Iñaki Williams,Sayap Kanan,Athletic Bilbao,Ghana,30,434540000000.0
23,Alex Iwobi,Sayap Kiri,Fulham FC,Nigeria,28,434540000000.0
24,Alexander Sørloth,Depan-Tengah,Atlético de Madrid,Norwegia,28,434540000000.0
0,Otávio,Gel. Serang,Al-Nassr FC,Portugal,29,434540000000.0
1,Fabinho,Gel. Bertahan,Al-Ittihad Club,Brasil,31,434540000000.0
2,Álex Remiro,Kiper,Real Sociedad,Spanyol,29,434540000000.0
3,Ruben Loftus-Cheek,Gel. Tengah,AC Milan,Inggris,28,434540000000.0
4,João Cancelo,Bek-Kanan,Al-Hilal SFC,Portugal,30,434540000000.0
5,Kurt Zouma,Bek-Tengah,Al-Orobah FC,Prancis,30,434540000000.0
6,Antoine Griezmann,Depan-Tengah,Atlético de Madrid,Prancis,33,434540000000.0
7,Thibaut Courtois,Kiper,Real Madrid,Belgia,32,434540000000.0
8,Antonio Rüdiger,Bek-Tengah,Real Madrid,Jerman,31,434540000000.0
9,Lionel Messi,Sayap Kanan,Inter Miami CF,Argentina,37,434540000000.0
10,Luis Guilherme,Sayap Kanan,West Ham United,Brasil,18,417160000000.0
11,Lewis Ferguson,Gel. Serang,Bologna FC 1909,Skotlandia,25,417160000000.0
12,Weston McKennie,Gel. Tengah,Juventus FC,Amerika Serikat,26,417160000000.0
13,Waldemar Anton,Bek-Tengah,Borussia Dortmund,Jerman,28,417160000000.0
14,Quilindschy Hartman,Bek-Kiri,Feyenoord Rotterdam,Belanda,22,399780000000.0
15,Daniel Muñoz,Bek-Kanan,Crystal Palace,Kolombia,28,399780000000.0
16,Pedro,Depan-Tengah,Clube de Regatas do Flamengo,Brasil,27,399780000000.0
17,Trincão,Sayap Kanan,Sporting CP,Portugal,24,399780000000.0
18,Nathan Tella,Gelandang Kanan,Bayer 04 Leverkusen,Nigeria,25,399780000000.0
19,Carlos Baleba,Gel. Bertahan,Brighton & Hove Albion,Kamerun,20,382400000000.0
20,Lewis Miley,Gel. Tengah,Newcastle United,Inggris,18,382400000000.0
21,Antonio Nusa,Sayap Kiri,RB Leipzig,Norwegia,19,382400000000.0
22,Michael Kayode,Bek-Kanan,ACF Fiorentina,Italia,20,382400000000.0
23,Lewis Hall,Bek-Kiri,Newcastle United,Inggris,20,382400000000.0
24,Julio Enciso,Gel. Serang,Brighton & Hove Albion,Paraguay,20,382400000000.0
0,Jarell Quansah,Bek-Tengah,Liverpool FC,Inggris,21,382400000000.0
1,Aitor Paredes,Bek-Tengah,Athletic Bilbao,Spanyol,24,382400000000.0
2,Carlos Augusto,Bek-Kiri,Inter Milan,Brasil,25,382400000000.0
3,Dwight McNeil,Sayap Kiri,Everton FC,Inggris,24,382400000000.0
4,Jan Paul van Hecke,Bek-Tengah,Brighton & Hove Albion,Belanda,24,382400000000.0
5,Elliot Anderson,Gel. Tengah,Nottingham Forest,Inggris,22,382400000000.0
6,Bart Verbruggen,Kiper,Brighton & Hove Albion,Belanda,22,382400000000.0
7,Zeno Debast,Bek-Tengah,Sporting CP,Belgia,21,382400000000.0
8,Fábio Vieira,Gel. Serang,FC Porto,Portugal,24,382400000000.0
9,Amad Diallo,Sayap Kanan,Manchester United,Pantai Gading,22,382400000000.0
10,Jesper Lindstrøm,Gel. Serang,Everton FC,Denmark,24,382400000000.0
11,James Garner,Gel. Bertahan,Everton FC,Inggris,23,382400000000.0
12,Yunus Musah,Gel. Tengah,AC Milan,Amerika Serikat,21,382400000000.0
13,Taylor Harwood-Bellis,Bek-Tengah,Southampton FC,Inggris,22,382400000000.0
14,Morgan Rogers,Gel. Serang,Aston Villa,Inggris,22,382400000000.0
15,Francisco Conceição,Sayap Kanan,Juventus FC,Portugal,21,382400000000.0
16,Crysencio Summerville,Sayap Kiri,West Ham United,Belanda,23,382400000000.0
17,Kevin Schade,Sayap Kiri,Brentford FC,Jerman,22,382400000000.0
18,Marcos Senesi,Bek-Tengah,AFC Bournemouth,Argentina,27,382400000000.0
19,Youssef En-Nesyri,Depan-Tengah,Fenerbahce,Maroko,27,382400000000.0
20,Aaron Ramsdale,Kiper,Southampton FC,Inggris,26,382400000000.0
21,Callum Hudson-Odoi,Sayap Kiri,Nottingham Forest,Inggris,24,382400000000.0
22,Dan Ndoye,Sayap Kanan,Bologna FC 1909,Swiss,24,382400000000.0
23,Sergiño Dest,Bek-Kanan,PSV Eindhoven,Amerika Serikat,24,382400000000.0
24,Igor Zubeldia,Bek-Tengah,Real Sociedad,Spanyol,27,382400000000.0
0,Kalvin Phillips,Gel. Bertahan,Ipswich Town,Inggris,28,382400000000.0
1,Konstantinos Tsimikas,Bek-Kiri,Liverpool FC,Yunani,28,382400000000.0
2,Pepelu,Gel. Bertahan,Valencia CF,Spanyol,26,382400000000.0
3,Ben Chilwell,Bek-Kiri,Chelsea FC,Inggris,27,382400000000.0
4,Dominic Calvert-Lewin,Depan-Tengah,Everton FC,Inggris,27,382400000000.0
5,Ferland Mendy,Bek-Kiri,Real Madrid,Prancis,29,382400000000.0
6,Sofyan Amrabat,Gel. Bertahan,Fenerbahce,Maroko,28,382400000000.0
7,Lorenzo Pellegrini,Gel. Serang,AS Roma,Italia,28,382400000000.0
8,Chris Führich,Sayap Kiri,VfB Stuttgart,Jerman,26,382400000000.0
9,Vitaly Janelt,Gel. Bertahan,Brentford FC,Jerman,26,382400000000.0
10,José María Giménez,Bek-Tengah,Atlético de Madrid,Uruguay,29,382400000000.0
11,Patrik Schick,Depan-Tengah,Bayer 04 Leverkusen,Republik Ceko,28,382400000000.0
12,James Ward-Prowse,Gel. Tengah,Nottingham Forest,Inggris,30,382400000000.0
13,Piotr Zieliński,Gel. Tengah,Inter Milan,Polandia,30,382400000000.0
14,Leon Goretzka,Gel. Tengah,Bayern Munich,Jerman,29,382400000000.0
15,Jordan Pickford,Kiper,Everton FC,Inggris,30,382400000000.0
16,Barış Alper Yılmaz,Sayap Kanan,Galatasaray,Turki,24,365010000000.0
17,Jeanuël Belocian,Bek-Tengah,Bayer 04 Leverkusen,Prancis,19,347630000000.0
18,Habib Diarra,Gel. Serang,RC Strasbourg Alsace,Senegal,20,347630000000.0
19,Jack Hinshelwood,Bek-Kanan,Brighton & Hove Albion,Inggris,19,347630000000.0
20,Alex Scott,Gel. Tengah,AFC Bournemouth,Inggris,21,347630000000.0
21,Javi Guerra,Gel. Tengah,Valencia CF,Spanyol,21,347630000000.0
22,Dango Ouattara,Sayap Kiri,AFC Bournemouth,Burkina Faso,22,347630000000.0
23,Vanderson,Bek-Kanan,AS Monaco,Brasil,23,347630000000.0
24,Rodrigo Muniz,Depan-Tengah,Fulham FC,Brasil,23,347630000000.0
0,Alberto Moleiro,Gel. Serang,UD Las Palmas,Spanyol,21,347630000000.0
1,Milos Kerkez,Bek-Kiri,AFC Bournemouth,Hungaria,21,347630000000.0
2,Loïc Badé,Bek-Tengah,Sevilla FC,Prancis,24,347630000000.0
3,Georges Mikautadze,Depan-Tengah,Olympique Lyon,Georgia,24,347630000000.0
4,Jacob Greaves,Bek-Tengah,Ipswich Town,Inggris,24,347630000000.0
5,Johnny Cardoso,Gel. Bertahan,Real Betis Balompié,Amerika Serikat,23,347630000000.0
6,Orri Óskarsson,Depan-Tengah,Real Sociedad,Islandia,20,347630000000.0
7,El Bilal Touré,Depan-Tengah,VfB Stuttgart,Mali,23,347630000000.0
8,Beñat Turrientes,Gel. Tengah,Real Sociedad,Spanyol,22,347630000000.0
9,Enzo Le Fée,Gel. Tengah,AS Roma,Prancis,24,347630000000.0
10,Manu Koné,Gel. Tengah,AS Roma,Prancis,23,347630000000.0
11,Matteo Ruggeri,Gelandang Kiri,Atalanta BC,Italia,22,347630000000.0
12,Ander Barrenetxea,Sayap Kiri,Real Sociedad,Spanyol,22,347630000000.0
13,Rayan Cherki,Gel. Serang,Olympique Lyon,Prancis,21,347630000000.0
14,Toti,Bek-Tengah,Wolverhampton Wanderers,Portugal,25,347630000000.0
15,Antony,Sayap Kanan,Manchester United,Brasil,24,347630000000.0
16,Beto,Depan-Tengah,Everton FC,Guinea-Bissau,26,347630000000.0
17,Arnaud Kalimuendo,Depan-Tengah,Stade Rennais FC,Prancis,22,347630000000.0
18,Pierre Kalulu,Bek-Tengah,Juventus FC,Prancis,24,347630000000.0
19,Filip Jørgensen,Kiper,Chelsea FC,Denmark,22,347630000000.0
20,Antoine Semenyo,Sayap Kanan,AFC Bournemouth,Ghana,24,347630000000.0
21,Martin Baturina,Gel. Serang,GNK Dinamo Zagreb,Kroasia,21,347630000000.0
22,Leonardo Balerdi,Bek-Tengah,Olympique Marseille,Argentina,25,347630000000.0
23,Strahinja Pavlović,Bek-Tengah,AC Milan,Serbia,23,347630000000.0
24,Gabriel Sara,Gel. Tengah,Galatasaray,Brasil,25,347630000000.0
